,idFrame,Xnose1,Ynose1,Xnose2,Ynose2,Xneck1,Yneck1,Xneck2,Yneck2,XRshoulder1,YRshoulder1,XRshoulder2,YRshoulder2,XRelbow1,YRelbow1,XRelbow2,YRelbow2,XRwrist1,YRwrist1,XRwrist2,YRwrist2,XLShoulder1,YLShoulder1,XLShoulder2,YLShoulder2,XLelbow1,YLelbow1,XLelbow2,YLelbow2,XLwrist1,YLwrist1,XLwrist2,YLwrist2,XRhip1,YRhip1,XRhip2,YRhip2,XRknee1,YRknee1,XRknee2,YRknee2,XRankle1,YRankle1,XRankle2,YRankle2,XLhip1,YLhip1,XLhip2,YLhip2,XLknee1,YLknee1,XLknee2,YLknee2,XLankle1,YLankle1,XLankle2,YLankle2,XReye1,YReye1,XReye2,YReye2,XLeye1,YLeye1,XLeye2,YLeye2,XRear1,YRear1,XRear2,YRear2,XLear1,YLear1,XLear2,YLear2,DistNeckHip1,DistNeckHip2,DistNoseLWrist1,DistNoseRWrist1,DistNoseLKnee1,DistNoseRKnee1,DistLHipLWrist1,DistLHipRWrist1,DistRHipLWrist1,DistRHipRWrist1,DistLHipLKnee1,DistLHipRKnee1,DistRHipLKnee1,DistRHipRKnee1,DistNoseLWrist2,DistNoseRWrist2,DistNoseLKnee2,DistNoseRKnee2,DistLHipLWrist2,DistLHipRWrist2,DistRHipLWrist2,DistRHipRWrist2,DistLHipLKnee2,DistLHipRKnee2,DistRHipLKnee2,DistRHipRKnee2,Violence
0,0.0,120.0,64.0,200.0,72.0,136.0,64.0,128.0,88.0,152.0,56.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,56.0,136.0,64.0,208.0,80.0,152.0,88.0,192.0,80.0,200.0,80.0,168.0,96.0,160.0,112.0,184.0,120.0,168.0,112.0,208.0,144.0,216.0,184.0,160.0,104.0,152.0,120.0,176.0,128.0,176.0,144.0,208.0,144.0,200.0,152.0,144.0,80.0,144.0,80.0,176.0,32.0,128.0,64.0,64.0,112.0,56.0,112.0,192.0,32.0,136.0,48.0,46.64761516,40.0,168.19036830000002,80.39900497,104.0,104.0,25.29822128,51.2249939,25.29822128,64.49806199,73.75635566,65.96969001,73.75635566,65.96969001,43.08131846,88.36288814,106.7333125,106.7333125,22.627417,51.2249939,22.627417,62.48199741,64.49806199,64.49806199,75.47184906,75.47184906,1.0
1,22.0,144.0,88.0,200.0,72.0,80.0,96.0,128.0,88.0,88.0,88.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,56.0,200.0,56.0,208.0,80.0,216.0,80.0,192.0,80.0,200.0,80.0,104.0,128.0,160.0,112.0,96.0,152.0,168.0,112.0,104.0,184.0,216.0,184.0,104.0,128.0,152.0,120.0,96.0,152.0,176.0,144.0,96.0,184.0,200.0,152.0,144.0,80.0,144.0,80.0,176.0,32.0,208.0,64.0,64.0,112.0,56.0,112.0,192.0,32.0,184.0,32.0,40.0,40.0,168.19036830000002,80.39900497,104.0,104.0,25.29822128,51.2249939,25.29822128,64.49806199,73.75635566,65.96969001,73.75635566,65.96969001,43.08131846,88.36288814,106.7333125,106.7333125,22.627417,51.2249939,22.627417,62.48199741,64.49806199,64.49806199,75.47184906,75.47184906,1.0
2,29.0,144.0,88.0,200.0,72.0,72.0,96.0,160.0,96.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,56.0,200.0,56.0,208.0,80.0,216.0,80.0,192.0,80.0,200.0,80.0,96.0,128.0,176.0,112.0,96.0,152.0,208.0,144.0,88.0,184.0,216.0,184.0,88.0,128.0,176.0,112.0,96.0,152.0,144.0,152.0,88.0,184.0,136.0,192.0,144.0,80.0,144.0,80.0,176.0,32.0,208.0,64.0,64.0,112.0,56.0,112.0,192.0,32.0,184.0,32.0,35.77708764,22.627417,168.19036830000002,80.39900497,104.0,104.0,25.29822128,51.2249939,25.29822128,64.49806199,60.92618485,48.66210024,53.66563146,64.49806199,43.08131846,88.36288814,106.7333125,106.7333125,22.627417,51.2249939,22.627417,62.48199741,89.4427191,89.4427191,89.4427191,89.4427191,1.0
3,82.0,144.0,88.0,200.0,72.0,208.0,88.0,216.0,80.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,56.0,200.0,56.0,208.0,80.0,216.0,80.0,192.0,80.0,200.0,80.0,208.0,104.0,208.0,120.0,200.0,144.0,208.0,144.0,216.0,176.0,216.0,184.0,208.0,104.0,216.0,112.0,200.0,144.0,200.0,144.0,216.0,176.0,216.0,176.0,144.0,80.0,144.0,80.0,176.0,32.0,208.0,64.0,64.0,112.0,56.0,112.0,192.0,32.0,184.0,32.0,16.0,32.0,168.19036830000002,80.39900497,104.0,104.0,25.29822128,51.2249939,25.29822128,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,43.08131846,88.36288814,106.7333125,106.7333125,22.627417,51.2249939,22.627417,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,1.0
4,84.0,144.0,88.0,176.0,40.0,208.0,88.0,200.0,56.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,96.0,200.0,56.0,208.0,80.0,216.0,80.0,192.0,80.0,200.0,80.0,208.0,104.0,208.0,96.0,200.0,144.0,200.0,144.0,216.0,176.0,216.0,176.0,208.0,104.0,208.0,96.0,200.0,144.0,200.0,144.0,216.0,176.0,216.0,176.0,144.0,80.0,144.0,80.0,176.0,40.0,176.0,32.0,64.0,112.0,56.0,112.0,184.0,32.0,184.0,32.0,16.0,40.79215611,168.19036830000002,80.39900497,104.0,104.0,25.29822128,51.2249939,25.29822128,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,43.08131846,88.36288814,106.7333125,106.7333125,22.627417,51.2249939,22.627417,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,1.0
5,85.0,144.0,88.0,176.0,40.0,160.0,96.0,200.0,56.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,56.0,64.0,128.0,208.0,80.0,88.0,128.0,192.0,80.0,208.0,120.0,144.0,128.0,208.0,96.0,128.0,136.0,200.0,144.0,184.0,184.0,216.0,176.0,152.0,136.0,208.0,96.0,120.0,136.0,200.0,144.0,152.0,184.0,216.0,176.0,144.0,80.0,144.0,80.0,176.0,40.0,40.0,120.0,64.0,112.0,56.0,112.0,184.0,32.0,48.0,112.0,40.79215611,40.79215611,168.19036830000002,80.39900497,104.0,104.0,126.4911064,51.2249939,45.254834,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,43.08131846,88.36288814,89.4427191,97.32420048,22.627417,51.2249939,22.627417,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,1.0
6,86.0,144.0,88.0,32.0,120.0,160.0,96.0,200.0,56.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,200.0,56.0,64.0,128.0,208.0,80.0,88.0,128.0,184.0,72.0,208.0,120.0,144.0,128.0,200.0,96.0,128.0,136.0,200.0,144.0,184.0,184.0,216.0,184.0,152.0,136.0,200.0,104.0,120.0,136.0,200.0,144.0,152.0,184.0,216.0,176.0,144.0,80.0,144.0,80.0,176.0,40.0,40.0,120.0,64.0,112.0,56.0,112.0,184.0,40.0,48.0,112.0,40.79215611,48.0,168.19036830000002,80.39900497,104.0,104.0,126.4911064,51.2249939,45.254834,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,176.0,88.36288814,89.4427191,97.32420048,35.77708764,51.2249939,28.844410200000002,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,1.0
7,90.0,144.0,88.0,32.0,120.0,160.0,96.0,48.0,128.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,176.0,96.0,64.0,128.0,200.0,104.0,88.0,128.0,208.0,120.0,208.0,120.0,144.0,128.0,72.0,152.0,128.0,136.0,136.0,168.0,184.0,184.0,160.0,184.0,152.0,136.0,80.0,144.0,120.0,136.0,136.0,168.0,152.0,184.0,160.0,184.0,144.0,80.0,144.0,80.0,152.0,80.0,40.0,120.0,64.0,112.0,56.0,112.0,160.0,80.0,48.0,112.0,40.79215611,35.77708764,168.19036830000002,80.39900497,104.0,104.0,126.4911064,51.2249939,45.254834,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,176.0,88.36288814,89.4427191,97.32420048,130.2305648,51.2249939,139.7139936,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,1.0
8,91.0,144.0,88.0,32.0,120.0,160.0,96.0,48.0,128.0,152.0,96.0,32.0,128.0,136.0,112.0,16.0,144.0,120.0,112.0,120.0,120.0,176.0,96.0,64.0,128.0,200.0,104.0,88.0,128.0,208.0,120.0,208.0,120.0,144.0,128.0,72.0,152.0,128.0,136.0,136.0,168.0,184.0,184.0,160.0,184.0,152.0,136.0,80.0,144.0,120.0,136.0,136.0,168.0,152.0,184.0,160.0,184.0,144.0,80.0,144.0,80.0,152.0,80.0,40.0,120.0,64.0,112.0,56.0,112.0,160.0,80.0,48.0,112.0,40.79215611,35.77708764,168.19036830000002,80.39900497,104.0,104.0,126.4911064,51.2249939,45.254834,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,176.0,88.36288814,89.4427191,97.32420048,130.2305648,51.2249939,139.7139936,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,1.0
9,92.0,40.0,128.0,144.0,88.0,56.0,128.0,160.0,96.0,40.0,128.0,144.0,96.0,24.0,144.0,136.0,112.0,32.0,128.0,120.0,120.0,64.0,128.0,168.0,96.0,88.0,128.0,200.0,104.0,48.0,144.0,208.0,120.0,144.0,144.0,144.0,128.0,128.0,144.0,136.0,168.0,184.0,184.0,160.0,184.0,88.0,160.0,152.0,136.0,120.0,160.0,136.0,168.0,120.0,176.0,160.0,184.0,40.0,120.0,144.0,80.0,40.0,120.0,144.0,80.0,64.0,112.0,56.0,112.0,48.0,120.0,160.0,88.0,45.254834,40.79215611,168.19036830000002,80.39900497,104.0,104.0,126.4911064,51.2249939,45.254834,64.49806199,48.66210024,48.66210024,40.79215611,64.49806199,111.13955190000001,118.92855,82.36504113,75.89466384,104.3072385,96.33275663,97.32420048,104.3072385,32.984845,48.66210024,40.79215611,64.49806199,1.0
